İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
18/04/2020,Hyundai,Elantra,1.6 D-CVVT Prime Plus,2012.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,19000,117500
18/04/2020,Hyundai,Accent Era,1.5 CRDi Mode,2011.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,228000,47500
18/04/2020,Hyundai,Accent Era,1.5 CRDi Select,2011.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,154000,49900
18/04/2020,Hyundai,Diğer,Diğer,2008.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,190000,75500
18/04/2020,Hyundai,Getz,1.3 GL Cool,2005.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,160000,50750
18/04/2020,Hyundai,Accent,1.5 LS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,250000,21500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,49000,117500
18/04/2020,Hyundai,Getz,1.5 CRDi VGT,2008.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,190000,35900
18/04/2020,Hyundai,Diğer,Diğer,2017.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,45000,99950
27/05/2020,Dacia,Dokker,"1.5 dCi Ambiance
",2015.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Camlı Van,Galeriden,2. El,178535,63750
18/04/2020,Hyundai,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,150000,81950
18/04/2020,Hyundai,Diğer,Diğer,2011.0,Benzin/LPG,Düz Vites,1300 cc ve altı,Bilmiyorum,Diğer ,Diğer,Galeriden,2. El,125000,45300
18/04/2020,Hyundai,i20 Troy,1.4 CVVT Prime,2012.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,212000,49000
18/04/2020,Hyundai,Diğer,Diğer,2017.0,Benzin,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,52000,81500
18/04/2020,Hyundai,Diğer,Diğer,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,91000,139900
18/04/2020,Hyundai,Diğer,Diğer,2012.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,165000,78750
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,120000,91750
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2014.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,190000,73000
18/04/2020,Hyundai,Accent,1.3 LX,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,209000,23750
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,123000,92750
18/04/2020,Hyundai,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,86000,87500
18/04/2020,Hyundai,Getz,1.5 CRDi Comfort Plus,2011.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,170000,51750
18/04/2020,Hyundai,Diğer,Diğer,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,188000,55500
18/04/2020,Hyundai,Diğer,Diğer,2015.0,Benzin,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,40100,98900
18/04/2020,Hyundai,Diğer,Diğer,2013.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,98000,119850
18/04/2020,Hyundai,Elantra,1.6 CRDi Elite Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,109000,140500
18/04/2020,Hyundai,Accent Era,1.4 Team,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,400000,32900
18/04/2020,Hyundai,Diğer,Diğer,2019.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,24000,130850
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Prime,2013.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,162000,71250
08/06/2020,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Gri ,Sedan,Galeriden,2. El,130000,104000
18/04/2020,Hyundai,Tucson,2.0 CRDi,2008.0,Dizel,Düz Vites,1801-2000 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,320000,68500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,38000,94800
18/04/2020,Hyundai,Getz,1.5 CRDi Classic,2006.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,180000,33900
18/04/2020,Hyundai,Accent Era,Diğer,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,157000,37500
18/04/2020,Hyundai,Tucson,2.0 CRDi Style,2009.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,223000,88000
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,104000,108750
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,114000,105500
18/04/2020,Hyundai,Diğer,Diğer,2014.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,70000,87850
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode,2013.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,119000,77000
18/04/2020,Hyundai,Diğer,Diğer,2018.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kahverengi ,Hatchback 5 Kapı,Galeriden,2. El,33795,125750
18/04/2020,Hyundai,Diğer,Diğer,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,51856,97500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode,2014.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,147144,89900
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,41800,112950
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2018.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,20000,136500
18/04/2020,Hyundai,Diğer,Diğer,2016.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,44500,115800
18/04/2020,Hyundai,Excel,1.5 LS,1993.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,297000,14750
18/04/2020,Hyundai,Diğer,Diğer,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,78000,128900
18/04/2020,Hyundai,Diğer,Diğer,2013.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,164350,134500
08/06/2020,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Gri ,Sedan,Galeriden,2. El,130000,104000
18/04/2020,Hyundai,Diğer,Diğer,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,31000,101000
18/04/2020,Hyundai,Sonata,2.0 GLS,1996.0,Benzin/LPG,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,380000,32000
18/04/2020,Hyundai,Getz,1.4 DOHC Start,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,183000,62000
18/04/2020,Hyundai,Accent Era,1.5 CRDi-VGT Team,2010.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,216000,57500
18/04/2020,Hyundai,Elantra,1.6 CRDi Style Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,80000,139500
18/04/2020,Hyundai,Diğer,Diğer,2019.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,4500,135500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,120000,97000
18/04/2020,Hyundai,Elantra,1.6 D-CVVT Tune,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,158000,86500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,152000,82750
18/04/2020,Hyundai,Accent Era,1.4 Team,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,120000,60750
18/04/2020,Hyundai,Accent,1.5 1.5i GLS,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,230000,31500
18/04/2020,Hyundai,Accent Era,1.5 CRDi-VGT Team,2011.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,313000,41750
18/04/2020,Hyundai,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,170000,80950
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,120000,115000
18/04/2020,Hyundai,Diğer,Diğer,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,207000,51000
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode,2018.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,30000,129950
18/04/2020,Hyundai,Diğer,Diğer,2013.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,65000,129500
18/04/2020,Hyundai,Diğer,Diğer,2019.0,Benzin,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,5000,110000
18/04/2020,Hyundai,Diğer,Diğer,2011.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Station Wagon,Galeriden,2. El,89000,72500
09/04/2020,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
18/04/2020,Hyundai,Diğer,Diğer,2018.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,27000,109500
18/04/2020,Hyundai,Atos,1.1 GLS,2008.0,Benzin/LPG,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,94000,43750
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,116000,94000
18/04/2020,Hyundai,Diğer,Diğer,2009.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,277000,65000
18/04/2020,Hyundai,Atos,1.1 GLS,2006.0,Benzin,Düz Vites,1300 cc ve altı,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,153000,35000
18/04/2020,Hyundai,Diğer,Diğer,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,155000,55900
18/04/2020,Hyundai,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,143000,79950
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,110000,101950
18/04/2020,Hyundai,Diğer,Diğer,2012.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147000,91000
18/04/2020,Hyundai,Diğer,Diğer,2012.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147000,91000
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2013.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,182500,73000
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,219000,64500
18/04/2020,Hyundai,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,145000,76500
18/04/2020,Hyundai,Accent,1.3 LS,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,286521,20500
18/04/2020,Hyundai,Matrix,1.6 Style,2011.0,Benzin/LPG,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,132000,57000
18/04/2020,Hyundai,Accent Era,1.5 CRDi-VGT Select,2008.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Bej ,Sedan,Galeriden,2. El,218000,53250
18/04/2020,Hyundai,Diğer,Diğer,2019.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,5000,116500
18/04/2020,Hyundai,Accent Era,1.5 CRDi Start,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,163000,53750
25/03/2020,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
18/04/2020,Hyundai,Accent Era,Diğer,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,212300,38500
18/04/2020,Hyundai,Diğer,Diğer,2009.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,179000,59500
18/04/2020,Hyundai,Accent Era,1.5 CRDi-VGT Team,2008.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,213000,47500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2015.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,85000,92750
18/04/2020,Hyundai,Diğer,Diğer,2014.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,128000,109500
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2014.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,118000,99000
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2013.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,234345,72000
18/04/2020,Hyundai,Diğer,Diğer,2015.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,106000,104500
18/04/2020,Hyundai,Diğer,Diğer,2013.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,100000,121250
18/04/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,129000,76500
18/04/2020,Hyundai,Elantra,Diğer,2015.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,87000,132500
18/04/2020,Hyundai,Diğer,Diğer,2014.0,Benzin,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,98000,90000
18/04/2020,Hyundai,Accent Blue,1.4 CVVT Mode Plus,2012.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,170000,66500
18/04/2020,Hyundai,Diğer,Diğer,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,161000,61000
18/04/2020,Hyundai,Accent,1.5 GLS,1998.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Yeşil ,Sedan,Galeriden,2. El,147000,33200
18/04/2020,Hyundai,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,134000,79600
18/04/2020,Hyundai,Diğer,Diğer,2013.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,87000,96800
18/04/2020,Hyundai,Diğer,Diğer,2014.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,94000,85600
18/04/2020,Hyundai,Diğer,Diğer,2014.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,94000,84800
12/05/2020,Mercedes,Vito,110 D,2000.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Beyaz ,Camlı Van,Galeriden,2. El,250000,49500
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,50000,124900
17/04/2020,Hyundai,Tucson,Diğer,2020.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Arazi Aracı,Galeriden,0 km,0,318000
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,100000,94500
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,52000,114900
17/04/2020,Hyundai,Accent Era,1.5 CRDi Mode,2010.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,266000,42500
17/04/2020,Hyundai,Kona,Diğer,2019.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,2. El,7000,170950
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,114000,82850
17/04/2020,Hyundai,Diğer,Diğer,2017.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,56000,118850
17/04/2020,Hyundai,Tucson,Diğer,2019.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,3000,261000
17/04/2020,Hyundai,Tucson,1.6 CRDI N Line,2019.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,2000,306000
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,240000,68000
17/04/2020,Hyundai,Diğer,Diğer,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,242000,50000
17/04/2020,Hyundai,Diğer,Diğer,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,115000,78750
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2012.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,233000,77500
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Prime,2012.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,236000,77900
17/04/2020,Hyundai,Diğer,Diğer,2014.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,171000,105000
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Prime,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,55000,114200
17/04/2020,Hyundai,Accent,1.3 GL Active,2006.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,209000,31000
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,226000,71000
03/06/2020,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,220000,49500
17/04/2020,Hyundai,Diğer,Diğer,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,180000,56750
17/04/2020,Hyundai,Diğer,Diğer,2019.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,14000,119500
17/04/2020,Hyundai,Accent Era,Diğer,2011.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,219000,63500
17/04/2020,Hyundai,Diğer,Diğer,2016.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,95000,110000
17/04/2020,Hyundai,Elantra,1.6 CRDi Style Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,69000,140000
17/04/2020,Hyundai,Elantra,1.6 CRDi Style,2015.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,106250,121900
17/04/2020,Hyundai,Accent,1.3 LX,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,250000,18900
17/04/2020,Hyundai,Getz,1.3 GLS,2005.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Yeşil ,Hatchback 5 Kapı,Galeriden,2. El,102000,58000
17/04/2020,Hyundai,Elantra,1.6 D-CVVT Style,2016.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,17000,129900
17/04/2020,Hyundai,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,148000,79500
17/04/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,95000,98500
17/04/2020,Hyundai,Elantra,1.6 CRDi Style Plus,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,79000,137500
17/04/2020,Hyundai,Accent Era,1.4 Mode,2012.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,209000,63500
17/04/2020,Hyundai,Diğer,Diğer,2013.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,136000,117000
17/04/2020,Hyundai,Diğer,Diğer,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,56500,169000
